AUC,accuracy,loss,precision,recall,val_AUC,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.7459886074066162,0.6495624780654907,3.228524684906006,0.5594958066940308,0.8184375166893005,0.994383692741394,0.9591512084007263,2.689875841140747,0.980079710483551,0.9225000143051147,9.999999747378752e-05
0.8451992869377136,0.7559002637863159,2.61814022064209,0.6671586632728577,0.8475000262260437,0.993170440196991,0.9623342156410217,2.1926259994506836,0.9727626442909241,0.9375,9.999999747378752e-05
0.8834744095802307,0.79103684425354,2.188480854034424,0.7114583253860474,0.8537499904632568,0.9956520795822144,0.9559681415557861,1.8337414264678955,0.9812080264091492,0.9137499928474426,9.999999747378752e-05
0.8977115750312805,0.8121188282966614,1.8743807077407837,0.7367861866950989,0.8668749928474426,0.9946584105491638,0.9623342156410217,1.560394048690796,0.9866488575935364,0.9237499833106995,9.999999747378752e-05
0.9074223637580872,0.8172898292541504,1.6313858032226562,0.745288074016571,0.8650000095367432,0.9970224499702454,0.9687002897262573,1.3415311574935913,0.9894319772720337,0.9362499713897705,9.999999747378752e-05
0.9236351847648621,0.8383718132972717,1.4162087440490723,0.7720406651496887,0.8784375190734863,0.9980080723762512,0.9692307710647583,1.1789273023605347,0.9894459247589111,0.9375,9.999999747378752e-05
0.9270809292793274,0.838106632232666,1.2601454257965088,0.7695450782775879,0.8828125,0.9981646537780762,0.9543766379356384,1.0426675081253052,0.9930939078330994,0.8987500071525574,9.999999747378752e-05
0.9270150065422058,0.8354547619819641,1.1363147497177124,0.770206868648529,0.8725000023841858,0.9983433485031128,0.961273193359375,0.9231516122817993,0.9918808937072754,0.9162499904632568,9.999999747378752e-05
0.9321351051330566,0.8439406156539917,1.022562026977539,0.7802715301513672,0.8799999952316284,0.9967696070671082,0.9591512084007263,0.8345403075218201,0.9878542423248291,0.9150000214576721,9.999999747378752e-05
0.933984100818634,0.847387969493866,0.9338910579681396,0.7792313694953918,0.8934375047683716,0.996949315071106,0.9718832969665527,0.7408673763275146,0.9895150661468506,0.9437500238418579,9.999999747378752e-05
0.9351521134376526,0.8431450724601746,0.8576595783233643,0.7769843339920044,0.8840625286102295,0.9984319806098938,0.9618037343025208,0.6801334023475647,0.9945651888847351,0.9150000214576721,9.999999747378752e-05
0.9399528503417969,0.8553434014320374,0.7821871638298035,0.7917012572288513,0.8943750262260437,0.995925784111023,0.9554376602172852,0.6300508379936218,0.9890710115432739,0.9049999713897705,9.999999747378752e-05
0.9461477398872375,0.8618403673171997,0.7173536419868469,0.8019026517868042,0.8956249952316284,0.9967080354690552,0.9580901861190796,0.573060929775238,0.9918144345283508,0.9087499976158142,9.999999747378752e-05
0.9405155777931213,0.8577300310134888,0.6855259537696838,0.7920900583267212,0.9012500047683716,0.9985513091087341,0.9549071788787842,0.5284613370895386,0.9944674968719482,0.8987500071525574,9.999999747378752e-05
0.9452340006828308,0.861575186252594,0.6349937319755554,0.805902361869812,0.887499988079071,0.9964978098869324,0.951193630695343,0.4974209666252136,0.990304708480835,0.893750011920929,9.999999747378752e-05
0.9453431963920593,0.861177384853363,0.5992675423622131,0.7997772097587585,0.8974999785423279,0.9969286322593689,0.9522546529769897,0.4615994691848755,0.9889807105064392,0.8974999785423279,9.999999747378752e-05
0.9455683827400208,0.8635640144348145,0.5691666603088379,0.7996135950088501,0.9053124785423279,0.998103141784668,0.9496021270751953,0.43323054909706116,0.9957805871963501,0.8849999904632568,9.999999747378752e-05
0.9500911831855774,0.8663484454154968,0.5303750038146973,0.8075196146965027,0.8993750214576721,0.9989297389984131,0.9469496011734009,0.4053952693939209,0.9971590638160706,0.8774999976158142,9.999999747378752e-05
0.9518303275108337,0.8712543249130249,0.5063802003860474,0.8112258911132812,0.9078124761581421,0.9984004497528076,0.9676392674446106,0.361776202917099,0.9933244585990906,0.9300000071525574,9.999999747378752e-05
0.9491953253746033,0.8666136264801025,0.4923667013645172,0.8093626499176025,0.8968750238418579,0.9970086812973022,0.9575597047805786,0.35200509428977966,0.989130437374115,0.9100000262260437,9.999999747378752e-05
